Pais,humanidades digitales,humanidades digitais,digital humanities,humanités numériques
China,,,100,
Irlanda,,,100,
Austria,,,100,
Hong Kong,,,100,
Suiza,,,100,
Italia,,,100,
Alemania,,,100,
Grecia,,,100,
Bélgica,,,100,
Países Bajos,,,100,
Canadá,,,100,
Reino Unido,,,100,
Estados Unidos,,,100,
Colombia,100,,,
Nigeria,,,100,
Suecia,,,100,
Australia,,,100,
Francia,,,29,71
España,70,,30,
Corea del Sur,,,100,
Filipinas,,,100,
Sudáfrica,,,100,
Pakistán,,,100,
India,,,100,
México,81,,19,
Rusia,,,100,
Perú,100,,,
Malasia,,,100,
Argentina,100,,,
Brasil,,74,26,
Irán,,,100,
Indonesia,,,100,
Turquía,,,100,
Japón,,,100,
Islas Pitcairn,,,,
Tuvalu,,,,
Corea del Norte,,,,
Eritrea,,,,
Micronesia,,,,
Tonga,,,,
Samoa,,,,
Guinea Ecuatorial,,,,
Groenlandia,,,,
Gibraltar,,,,
Guayana Francesa,,,,
San Bartolomé,,,,
Bermudas,,,,
Congo,,,,
Jersey,,,,
Níger,,,,
Papúa Nueva Guinea,,,,
Cuba,,,,
Somalia,,,,
Palestina,,,,
Guyana,,,,
Burkina Faso,,,,
Puerto Rico,,,,
Zambia,,,,
El Salvador,,,,
Mali,,,,
Côte d’Ivoire,,,,
Guatemala,,,,
Santa Elena,,,,
República Dominicana,,,,
Libia,,,,
Chile,,,,
Estonia,,,,
Uruguay,,,,
Siria,,,,
Omán,,,,
Kuwait,,,,
Ecuador,,,,
Paraguay,,,,
Nueva Zelanda,,,,
Kazajistán,,,,
Venezuela,,,,
Portugal,,,,
Bulgaria,,,,
Ucrania,,,,
Aruba,,,,
Afganistán,,,,
Angola,,,,
Anguila,,,,
Islas Aland,,,,
Albania,,,,
Andorra,,,,
Emiratos Árabes Unidos,,,,
Armenia,,,,
Samoa Americana,,,,
Antártida,,,,
Territorios Australes Franceses,,,,
Antigua y Barbuda,,,,
Azerbaiyán,,,,
Burundi,,,,
Benín,,,,
Caribe neerlandés,,,,
Bangladés,,,,
Baréin,,,,
Bahamas,,,,
Bosnia y Herzegovina,,,,
Bielorrusia,,,,
Belice,,,,
Bolivia,,,,
Barbados,,,,
Brunéi,,,,
Bután,,,,
Isla Bouvet,,,,
Botsuana,,,,
República Centroafricana,,,,
Islas Cocos,,,,
Camerún,,,,
República Democrática del Congo,,,,
Islas Cook,,,,
Comoras,,,,
Cabo Verde,,,,
Costa Rica,,,,
Curazao,,,,
Isla de Navidad,,,,
Islas Caimán,,,,
Chipre,,,,
Chequia,,,,
Yibuti,,,,
Dominica,,,,
Dinamarca,,,,
Argelia,,,,
Egipto,,,,
Sáhara Occidental,,,,
Etiopía,,,,
Finlandia,,,,
Fiyi,,,,
Islas Malvinas (Islas Falkland),,,,
Islas Feroe,,,,
Gabón,,,,
Georgia,,,,
Guernesey,,,,
Ghana,,,,
Guinea,,,,
Guadalupe,,,,
Gambia,,,,
Guinea-Bisáu,,,,
Granada,,,,
Guam,,,,
Islas Heard y McDonald,,,,
Honduras,,,,
Croacia,,,,
Haití,,,,
Hungría,,,,
Isla de Man,,,,
Territorio Británico del Océano Índico,,,,
Irak,,,,
Islandia,,,,
Israel,,,,
Jamaica,,,,
Jordania,,,,
Kenia,,,,
Kirguistán,,,,
Camboya,,,,
Kiribati,,,,
San Cristóbal y Nieves,,,,
Laos,,,,
Líbano,,,,
Liberia,,,,
Santa Lucía,,,,
Liechtenstein,,,,
Sri Lanka,,,,
Lesoto,,,,
Lituania,,,,
Luxemburgo,,,,
Letonia,,,,
Macao,,,,
San Martín,,,,
Marruecos,,,,
Mónaco,,,,
Moldavia,,,,
Madagascar,,,,
Maldivas,,,,
Islas Marshall,,,,
Macedonia del Norte,,,,
Malta,,,,
Myanmar (Birmania),,,,
Montenegro,,,,
Mongolia,,,,
Islas Marianas del Norte,,,,
Mozambique,,,,
Mauritania,,,,
Montserrat,,,,
Martinica,,,,
Mauricio,,,,
Malaui,,,,
Mayotte,,,,
Namibia,,,,
Nueva Caledonia,,,,
Isla Norfolk,,,,
Nicaragua,,,,
Niue,,,,
Noruega,,,,
Nepal,,,,
Nauru,,,,
Panamá,,,,
Palaos,,,,
Polonia,,,,
Polinesia Francesa,,,,
Catar,,,,
Reunión,,,,
Rumanía,,,,
Ruanda,,,,
Arabia Saudí,,,,
Sudán,,,,
Senegal,,,,
Singapur,,,,
Islas Georgia del Sur y Sandwich del Sur,,,,
Svalbard y Jan Mayen,,,,
Islas Salomón,,,,
Sierra Leona,,,,
San Marino,,,,
San Pedro y Miquelón,,,,
Serbia,,,,
Sudán del Sur,,,,
Santo Tomé y Príncipe,,,,
Surinam,,,,
Eslovaquia,,,,
Eslovenia,,,,
Esuatini,,,,
Sint Maarten,,,,
Seychelles,,,,
Islas Turcas y Caicos,,,,
Chad,,,,
Togo,,,,
Tailandia,,,,
Tayikistán,,,,
Tokelau,,,,
Turkmenistán,,,,
Timor-Leste,,,,
Trinidad y Tobago,,,,
Túnez,,,,
Taiwán,,,,
Tanzania,,,,
Uganda,,,,
Islas menores alejadas de EE. UU.,,,,
Uzbekistán,,,,
Ciudad del Vaticano,,,,
San Vicente y las Granadinas,,,,
Islas Vírgenes Británicas,,,,
Islas Vírgenes de EE. UU.,,,,
Vietnam,,,,
Vanuatu,,,,
Wallis y Futuna,,,,
Kosovo,,,,
Yemen,,,,
Zimbabue,,,,
